"DV","IV","Test","Stat","Param","pval","NF","NN","Level1","Stat1F","Stat1N","Level2","Stat2F","Stat2N"
"CROSS_LOC","NEAR_FAR","Fisher",0.174378545225225,NA,0.00018694497232413,2133,439,"Crosswalk",0.962025316455696,0.993166287015945,"Away",0.0379746835443038,0.00683371298405467
"CrossMarkInAll","NEAR_FAR","Fisher",1.05343823322119,NA,0.770426816973649,2172,439,"FALSE",0.152394106813996,0.145785876993166,"TRUE",0.847605893186004,0.854214123006834
"CrossMarkInOut","NEAR_FAR","Fisher",1.10941670391248,NA,0.572113313931279,2172,439,"FALSE",0.917127071823204,0.908883826879271,"TRUE",0.0828729281767956,0.0911161731207289
"CrossMarkOutAll","NEAR_FAR","Fisher",1.46951732956501,NA,0.0525979197613465,2172,439,"FALSE",0.941068139963168,0.915717539863326,"TRUE",0.0589318600368324,0.0842824601366743
"CrossBehSpeed","NEAR_FAR","Fisher",1.33255062601978,NA,0.180398616259858,2172,439,"FALSE",0.944290976058932,0.927107061503417,"TRUE",0.0557090239410681,0.0728929384965831
"CrossBehPaused","NEAR_FAR","Fisher",0.354036288074059,NA,0.0343558683138772,2172,439,"FALSE",0.974677716390424,0.990888382687927,"TRUE",0.0253222836095764,0.00911161731207289
"CrossBehDistracted","NEAR_FAR","Fisher",0.548812295329361,NA,1,2172,439,"FALSE",0.99585635359116,0.997722095671982,"TRUE",0.00414364640883978,0.00227790432801822
"CrossObsCar","NEAR_FAR","Fisher",0.801104134181748,NA,0.45670640593687,2172,439,"FALSE",0.952117863720074,0.96127562642369,"TRUE",0.0478821362799263,0.0387243735763098
