"","GroupSize","logGroupSize","Age_ChildTeen","Gender_Female","Gender_Unknown","OC_Load","OC_StrWhe","OC_SkaSco","OC_Bicycle","OC_Distracted","CWNum1","CDirAppr","RTQueue","VehType2_Small","VehType2_Large","PRCP_01","TEMP","TEMP_5065","TEMP_6580","TEMP_8095","Weekday_M_F","Weekend","TOD2_0611","TOD2_1805","AMPeak","PMPeak","PEDCP_ped_FDW","PEDCP_ped_SDW","VEHCP_veh_Y","VEHCP_veh_R","CURB_RAD","CW_DIST","SB_DIST","RAMPS_2","CRType_Dire","CRType_Blen","CWType_Cont","CWType_None","RT_LNS_05","RT_LNS_2","REC_LNS_1","CHANNEL","Skewed","EXTENSION","RTOR","Street.Lt","BIKE_LN","AADP0100","logAADP","AADT1000","logAADT","RTNotSig","OnRamp","OffRamp","popden_000_qtmi","empden_000_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","stops_qtmi","worship_qtmi","schools_qtmi","park_acre_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi"
"GroupSize",1,0.740139710453072,0.245644986188332,0.193048634378389,-0.0467911493090305,-0.0231756115288979,-0.00737605441683639,-0.028661001525176,-0.0532917109806235,0.45817466643966,-0.0405845125373507,0.0320987664919872,0.0247186054122442,0.00136295271563957,0.0806568845519181,-0.0223540958947775,-0.101120295204491,-0.0488095874051566,-0.0723237715135862,-0.0402049830542506,-0.065063565813121,NA,0.0524564963942129,-0.02586392293642,0.141203629585587,-0.0447625891475231,0.0297073241585366,0.0499715513651285,0.0158505755171795,-0.0333800453228529,-0.107639927993875,-0.0713776014426329,-0.0104069795910773,-0.067358072771656,-0.0946095662811209,-0.0070617147057915,0.203343880697869,-0.00401063697273211,-0.0601015872219197,-0.0204388319465128,-0.0571993247510074,-0.0380250624585342,-0.0352269739617678,NA,NA,NA,0.203925534310313,0.000559999429253307,0.0425218939195541,-0.0502426580456474,-0.0674195090815752,-0.0313501217153239,-0.0475778308227901,-0.0167495783942997,0.0191313916543386,-0.0637885998737546,0.155582032721328,-0.118382940105936,-0.0487394094356623,-0.0426782650937015,0.0867369972473283,-0.09775306678747,0.0379960922183,0.0864697137912373,0.202054032321871,0.233876157097614,-0.0406999409256315,0.1773581857643,-0.033599164516117,0.050243551058886
"logGroupSize",0.740139710453072,1,0.388402085988096,0.348017746508249,-0.0588650497246943,-0.0458016652696907,0.00158893347231494,-0.0453940805867779,-0.106285877023242,0.562717996859159,-0.0168663433735035,0.0299508858166409,0.0181876984401789,-0.0157405710257026,0.0798464723474464,-0.048631975040686,-0.142934514523197,-0.0398532976030362,-0.101671716664523,-0.0643094355147268,-0.0733260025948964,NA,0.0677588807238864,0.0162672875268735,0.166987197064398,-0.0399802712926491,0.0511474821662106,0.0207851028773069,0.0285052525096482,-0.0232730764244951,-0.183272278305494,-0.05607341240614,0.0225122510980351,-0.131268098155673,-0.173239101085342,0.0610998862409115,0.218753466263912,-0.00983688070752461,-0.048425093977893,-0.0378988636506335,-0.105876201096013,-0.0502318891463811,-0.0301276066726163,NA,NA,NA,0.246669388918395,0.0496575332200775,0.0836619150172624,-0.0993180562532489,-0.149930322137651,-0.0356916745160778,-0.0913771979424627,-0.0119762681995422,0.0814591923861251,-0.0415919130847539,0.233402399381598,-0.17007693603228,-0.0974332373617361,-0.013073773276343,0.123845849994763,-0.115729847346421,0.050541556208779,0.100423411893139,0.332386254457832,0.26611008712735,-0.0150713365084877,0.243998271146832,-0.0517588950683466,0.0861451692642941
"Age_ChildTeen",0.245644986188332,0.388402085988096,1,0.186204000427918,-0.170093205200169,-0.0685326974533279,-0.0467733905966667,0.068156918504312,-0.104956384935552,0.320013098383762,-0.0111262003658371,0.110494639074942,0.0155583936891018,0.0216819635795672,0.0115173390244448,-0.039646493887711,-0.0972592129350346,-0.0380574391354762,-0.103152605313198,-0.0466780608979057,-0.104185353987935,NA,0.0853729394916983,-0.0473853721017051,0.190206096043074,-0.0583310442106726,0.0252828665609804,0.0528853654618518,0.085407801074102,-0.0589094788513954,-0.128700163303817,-0.202982896985902,-0.0482131366062849,-0.115258764023699,-0.125870337107942,-0.117634126392693,0.363510344851991,0.0524177830597762,-0.0511613146913198,-0.0200218213094241,-0.0414654447345749,-0.00397726637586033,0.0126035577379761,NA,NA,NA,0.384111421730555,-0.0928728840982546,0.0149215209025456,-0.0752712757574567,-0.12712081785379,0.00611105489504283,-0.0730577483753937,0.0111929309190467,-0.0510011500986037,-0.280781759311806,0.350688237981266,-0.262627639742994,-0.0843447636926607,-0.0592907458730359,0.170432457651286,-0.185918489747695,-0.00725306703706255,0.140065072094299,0.326182105136018,0.468731842460331,-0.0468115673499161,0.382368822983603,-0.0305810591286995,0.220238693496781
"Gender_Female",0.193048634378389,0.348017746508249,0.186204000427918,1,-0.265426108261724,0.022889382583006,0.0293353754813436,-0.105789744180307,-0.198088460571415,0.180127543666745,-0.0469880830368312,0.11886620129025,-0.00753071018915244,-0.0176218574151776,0.0408485882053371,0.00744491400002458,-0.0293614161577893,0.0306163409097514,-0.10823519033126,0.0554215070085652,-0.0127128914150924,NA,-0.00158226745823522,-0.0455696458591518,0.0626100021469791,0.0226909789590009,0.055973368859175,-0.00313700119186016,0.0684454317884082,-0.049881765041235,-0.149799731341153,-0.0863498281028794,-0.0224984890656485,-0.110278266943977,-0.131951858063127,0.0882216467886327,0.0828665211011296,-0.0162409107349658,-0.0193414212547973,-0.0394616806495209,-0.0582947618653152,-0.0885543344736647,-0.0519850400996785,NA,NA,NA,0.183282245344482,0.0806307569778834,0.0796017369106575,-0.0510572559883485,-0.0547765129260853,-0.077281919103647,-0.0623029551980586,-0.00217485299639115,0.129887254598054,-0.0291017726449645,0.108219768924167,-0.106342542908041,-0.0311330178605975,-0.0690679198609353,0.110112597049035,-0.125719766115728,0.0738695094493298,0.0864609088715205,0.233839551941598,0.109937515870717,0.0515035258239456,0.116961855008022,0.0275698848573901,0.0580354315144891
"Gender_Unknown",-0.0467911493090305,-0.0588650497246943,-0.170093205200169,-0.265426108261724,1,-0.0135359885055547,0.0781252932906041,0.022416993983146,-0.0085235872144167,-0.08376824561003,0.0987741403485027,-0.0141205967863535,-0.0905580950838924,-0.0104772540916747,-0.0387636130939017,0.00358250722529193,-0.184517526154308,-0.0230801029623463,-0.0886250992723612,-0.0760905037139951,-0.102495007366195,NA,-0.0406901091294709,0.157212830843686,-0.0212712587609628,0.0441385567652563,-0.000488706146956281,0.024269341326988,-0.0301679842440983,0.0958101178173908,0.13081107665004,0.0253963186357217,-0.032802307800721,-0.0294335537886708,0.131611768755236,-0.0546218857134777,0.106659740342719,-0.010524853527374,0.147339701258873,0.0130481483702818,0.164947569511147,0.252852499627942,0.186643199010698,NA,NA,NA,-0.155272592194266,-0.016855851285146,-0.124317753305869,-0.00538105639274868,0.0287931411339087,0.272976628053025,0.238234696634902,-0.00728321281783901,-0.0991935889223077,0.0866435800583712,-0.141741856625626,0.103009517033748,-0.0364556246479161,0.195595347457511,-0.150816616959006,0.208744642739765,-0.112881063620276,-0.149988611048621,-0.108833061589313,-0.143243405562862,0.105330950462605,-0.00812271404809707,-0.0424096642285454,-0.146868061485102
"OC_Load",-0.0231756115288979,-0.0458016652696907,-0.0685326974533279,0.022889382583006,-0.0135359885055547,1,-0.0196747546003195,-0.0463432632727826,0.00626748933247003,-0.0427828071678367,-0.0789897728371478,-0.0537854022168955,-0.0199904700267553,0.00254204184018633,0.00623408968717745,0.0344728948247241,0.00435496708869679,-0.00727331087939203,0.022889382583006,-0.0213799420366893,0.0312075441672036,NA,-0.0256288833600677,-0.0295467354245016,0.0173839633305658,0.0740283700374321,-0.0170108417062146,-0.0149655938460962,-0.0137234054840254,-0.0794015476325905,0.0356702734150856,-0.0147399487034776,-0.0114254101752572,0.0217623659945949,0.0411488133212422,-0.0328495792351359,-0.00868328137888605,-0.0048961291886367,0.0544788368807436,-0.0305283187623692,0.0270082854358281,0.00976253218208182,0.00387249407543083,NA,NA,NA,-0.0496840684365932,-0.0127051003741099,-0.0127199354399262,-0.0287363096049595,-0.0246517567003983,0.0268331891973673,0.0505913713899139,-0.0399442458191038,-0.0228257618502827,0.0299019176329247,0.00332653976919098,0.030032929548606,-0.00884519911744824,0.0441630989648909,-0.0643651427608127,0.041131516859971,-0.0531398018369554,-0.022093073808281,-0.0519845943697745,-0.0423230734594453,0.0257504159805065,0.00313681117444053,-0.0644576038863322,0.0239631256315724
"OC_StrWhe",-0.00737605441683639,0.00158893347231494,-0.0467733905966667,0.0293353754813436,0.0781252932906041,-0.0196747546003195,1,-0.0232065854890654,-0.0416968402289285,-0.021423672005111,-0.0361210824840674,0.000375418755067829,0.0599481219673301,-0.0171327908090969,-0.0208019204737127,-0.0150799909094582,0.036799102162473,-0.00891366147422961,0.00230727672325174,0.0516909929022351,-0.0136922998797128,NA,-0.0145522064801079,0.0277978934859523,-0.0335326375507422,-0.0195156343214446,0.0397728710791657,-0.0219546204187979,0.0592789306869245,-0.0255834775719296,-0.0584940132790243,-0.0104646473985736,0.0188472353925827,-0.00265705454989177,-0.0212838447800408,-0.0117285405724466,-0.0461969664713773,-0.00245175744126625,0.0142827452835668,-0.0152871850008982,-0.0432805743855342,-0.0355010540486227,-0.00385572143823273,NA,NA,NA,-0.0178265458142186,0.0464940059734966,0.0428210926447323,-0.00667880079544334,-0.0051888509818436,-0.0312617600265607,-0.0353933235644266,-0.0200022503797587,0.0268794400779375,0.00909591589331638,0.06267320163555,-0.0148845662240194,-0.0296765390211273,-0.0367755568169622,-0.0266725549164119,0.0458710467184479,-0.0258648723534744,0.0409457985865635,0.0290463694001542,-0.0341899934475288,0.0951530830505839,0.0241715275493935,-0.0121628671011992,-0.0337203060240021
"OC_SkaSco",-0.028661001525176,-0.0453940805867779,0.068156918504312,-0.105789744180307,0.022416993983146,-0.0463432632727826,-0.0232065854890654,1,-0.0982155906707477,-0.050462783001445,0.0543851082226799,-0.0439022499231551,0.053208987446442,-0.00978684731578068,-0.0078948614186234,-0.035520442468789,0.00845151674636446,-0.0337580303954232,0.014048059622631,0.0262043638217409,-0.0100278643889003,NA,0.0114857635168159,0.0250353466415631,-0.0427006115481648,-0.0161201614804641,0.0136776456619775,-0.00649599028856572,-0.022433145914447,0.0266154725672231,0.0245593521112138,-0.0247752864671758,0.0162799452672477,0.0493746326525194,0.0175186125836003,-0.0397930429431005,-0.0800552359428456,-0.00577503724390854,-0.0728044510679917,0.000557406836059844,-0.00434884262011383,0.0117948257198007,-0.00609515924602337,NA,NA,NA,-0.0393932074607591,-0.0358762821476895,-0.0738475843700119,0.0118690080916723,0.00702204085663486,0.0127604668846011,-0.0225053449612846,-0.00450360808923937,-0.0643687698848582,0.0101165391986188,-0.0402807820063827,0.0581706785173059,-0.0104631317704352,-0.0484059173169883,0.0842801610647132,0.0150617250261522,0.0376053147837801,-0.0645116724134391,-0.0717926689361792,-0.0345751618405875,-0.0326499881920005,-0.00762829745697707,0.0368405695967677,-0.00290816377396273
"OC_Bicycle",-0.0532917109806235,-0.106285877023242,-0.104956384935552,-0.198088460571415,-0.0085235872144167,0.00626748933247003,-0.0416968402289285,-0.0982155906707477,1,-0.0906698920144793,-0.04143572238219,-0.0628481707253335,-0.0172945515844432,0.00122158674551323,-0.0199894171878779,-0.0178241563302369,0.205946901053237,0.0435520454789974,0.106949168853111,0.105911556859239,0.0174766682160266,NA,-0.0560893213293117,0.0196078431372549,-0.0630745824828437,0.00741233940247484,-0.0965815875096208,0.0434352982449508,-0.0601071521420736,-0.0145173376018241,0.117004328286679,-0.0269482748581801,-0.0619934817879542,0.116736550855207,0.136904430816795,-0.063306272633468,-0.11963088893049,-0.0103763996383194,-0.0107216375057453,0.00340520379047638,0.0871588035010732,-0.0479287650437265,0.0244774457683355,NA,NA,NA,0.0245038385481005,-0.0741780827023808,-0.0838237676898522,0.0381321553952788,0.056389043714146,-0.0548299015006852,0.0445329530979632,-0.0317452911704393,-0.0810687819862352,-0.0920251658375854,-0.0729783704588169,0.00968224587281973,0.128312216372096,-0.0792014309735015,-0.0458499380409793,-0.0567862489475058,-0.00835830040417241,-0.0697708813249515,-0.177307572832768,-0.0527940576818102,-0.0720027970798373,-0.109321679643087,0.0471466572536058,0.0565007293782946
"OC_Distracted",0.45817466643966,0.562717996859159,0.320013098383762,0.180127543666745,-0.08376824561003,-0.0427828071678367,-0.021423672005111,-0.050462783001445,-0.0906698920144793,1,-0.0753749425644491,0.0290903578732605,-0.039544258567161,-0.0179929410011499,0.043132439364134,-0.0327914810770552,-0.16403593269244,-0.0525724745434147,-0.141914505404945,-0.050433126354085,-0.10781158418817,NA,0.0873688137538179,-0.049268114838918,0.141600356736145,-0.0506871574806294,0.0641897470261039,0.0158205314011765,0.0361433809698686,-0.0425398608712567,-0.165698874947503,-0.124778043843957,-0.0364145024827015,-0.107301485857833,-0.159231355681271,-0.021144258840099,0.301441688988425,-0.00533135319666451,-0.124973083745616,-0.0332420251900806,-0.094113726227592,-0.0771971381840012,-0.0865104915152694,NA,NA,NA,0.310138208634333,-0.014693980523069,0.0533394255355318,-0.0798052013341159,-0.104521113870286,-0.0679787818508199,-0.0769628779543268,-0.0434949476272559,0.034766351793693,-0.055808131810045,0.233052396673013,-0.171490294297546,-0.0705099873705773,-0.0917097365035097,0.139398541474946,-0.140289021006212,0.0592065882547853,0.123406445414409,0.298811111269295,0.346874318873595,-0.0780440858417659,0.28404965596115,-0.0606191615440075,0.0612206975512581
