"ID","Folder","Person","TS.of.data.collection","Researcher.Initial","Signal.ID","Date","Weather","Number.of.people.in.group","Age_Child","Age_Teenager","Age_Young_adult","Age_Middle_aged_adult","Age_Older_adult_over_65","Age_Adult_of_unknown_age","Age_ChildTeen","Age_Adult","Gender_Male","Gender_Female","Gender_Unknown_gender","OC_Stroller","OC_Carrying_load","OC_Wheelchair","OC_Skateboard","OC_Scooter","OC_Bicycle","OC_Distracted","OC_Others","Crosswalk.ID","Crossing.location","Crossing.direction","Ped.TS.at.CP.1","Ped.TS.at.CP.2","Ped.TS.at.CP.Diff","RT.queue.length","About.Ped","About.overall.conflict","Vehicle","Stop.location","TS.CP","Reaction.to.conflict","Ped.Reaction","Type","About.Conflict","Encroachment_Time_Pre","Encroachment_Time_Post","Encroachment_Time","Encroachment.Car.Before.Ped","Encroachment.Car.After.Ped","Encroachment.Car.Same.Ped"
17,"2021-09-14 5306","BN",2022-02-16 11:42:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Approaching Curb",2021-09-15 20:07:11,2021-09-15 20:07:11,0,"1",NA,NA,1,"Before the first crosswalk",2021-09-15 20:07:14,"Driver fully stopped","No obvious reaction","Pickup Truck",NA,-3,3,3,FALSE,TRUE,FALSE
26,"2021-09-14 5306","BN",2022-02-16 12:09:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 15:44:52,2021-09-14 15:44:52,0,"3",NA,NA,1,"Before the first crosswalk",2021-09-14 15:44:56,"No obvious reaction","No obvious reaction","SUV",NA,-4,4,4,FALSE,TRUE,FALSE
27,"2021-09-14 5306","BN",2022-02-16 12:11:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Approaching Curb",2021-09-14 16:00:12,2021-09-14 16:00:12,0,"2",NA,NA,1,"Before the first crosswalk",2021-09-14 16:00:18,"No obvious reaction","No obvious reaction","Sedan",NA,-6,6,6,FALSE,TRUE,FALSE
28,"2021-09-14 5306","BN",2022-02-16 12:12:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Approaching Curb",2021-09-14 16:12:35,2021-09-14 16:12:35,0,"1",NA,NA,1,"Did not stop",2021-09-14 16:12:39,"Driver slowed down","No obvious reaction","Sedan",NA,-4,4,4,FALSE,TRUE,FALSE
32,"2021-09-14 5306","BN",2022-02-16 20:58:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 16:48:14,2021-09-14 16:48:14,0,"0",NA,NA,1,"Did not stop",2021-09-14 16:48:08,"No obvious reaction","No obvious reaction","Pickup Truck",NA,6,-6,-6,TRUE,FALSE,FALSE
33,"2021-09-14 5306","BN",2022-02-16 21:01:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 16:57:26,2021-09-14 16:57:26,0,"2",NA,NA,1,"Before the first crosswalk",2021-09-14 16:57:21,"No obvious reaction","No obvious reaction","Sedan",NA,5,-5,-5,TRUE,FALSE,FALSE
33,"2021-09-14 5306","BN",2022-02-16 21:01:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 16:57:26,2021-09-14 16:57:26,0,"2",NA,NA,2,"Before the first crosswalk",2021-09-14 16:57:30,"Driver fully stopped","No obvious reaction","SUV",NA,-4,4,4,FALSE,TRUE,FALSE
34,"2021-09-14 5306","BN",2022-02-16 21:04:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 17:12:26,2021-09-14 17:12:26,0,"1",NA,NA,1,"Before the first crosswalk",2021-09-14 17:12:30,"Driver fully stopped","No obvious reaction","Sedan",NA,-4,4,4,FALSE,TRUE,FALSE
35,"2021-09-14 5306","BN",2022-02-16 21:07:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 17:27:29,2021-09-14 17:27:29,0,"1",NA,NA,1,"Did not stop",2021-09-14 17:27:32,"No obvious reaction","No obvious reaction","Sedan",NA,-3,3,3,FALSE,TRUE,FALSE
35,"2021-09-14 5306","BN",2022-02-16 21:07:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 17:27:29,2021-09-14 17:27:29,0,"1",NA,NA,2,"Did not stop",2021-09-14 17:27:35,"No obvious reaction","No obvious reaction","Sedan",NA,-6,6,6,FALSE,TRUE,FALSE
36,"2021-09-14 5306","BN",2022-02-16 21:13:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 18:44:42,2021-09-14 18:44:42,0,"3",NA,NA,1,"Between the first and second crosswalk",2021-09-14 18:44:45,"Driver fully stopped","No obvious reaction","SUV",NA,-3,3,3,FALSE,TRUE,FALSE
36,"2021-09-14 5306","BN",2022-02-16 21:13:00,"BN",5306,2021-09-14,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-14 18:44:42,2021-09-14 18:44:42,0,"3",NA,NA,2,"Did not stop",2021-09-14 18:44:47,"No obvious reaction","No obvious reaction","Sedan",NA,-5,5,5,FALSE,TRUE,FALSE
