"DV","IV","test","cor","cil","ciu","t","df","p"
"EncrTime","GroupSize","Pearson",0.0195045727090541,-0.0289270688806092,0.0678448513674606,0.789543411739884,1638,0.429908739945038
"EncrTime","logGroupSize","Pearson",0.0688338200135605,0.0204977842831724,0.116848828033814,2.79248037703647,1638,0.00529135390751979
"EncrTime","Age_ChildTeen","Point-Biserial",0.0202257810357554,-0.0282061646101212,0.0685629881900607,0.818749596975626,1638,0.413048390874287
"EncrTime","Age_Child","Point-Biserial",0.0479298508694625,-0.000475583867133158,0.0961112030642183,1.94205911885135,1638,0.0523011786664604
"EncrTime","Age_Teenager","Point-Biserial",0.0102235450775748,-0.0381996899447204,0.0585988779865357,0.413791116291951,1638,0.679081261721749
"EncrTime","Age_Adult","Point-Biserial",0.0029203594957143,-0.0454904023149287,0.0513174367391232,0.118193914650374,1638,0.905928503266148
"EncrTime","Age_Young_adult","Point-Biserial",-0.0427153287436138,-0.0909316492119224,0.00570078962463957,-1.73036320051265,1638,0.0837537497013619
"EncrTime","Age_Middle_aged_adult","Point-Biserial",0.0304996815926467,-0.017931121797952,0.0787876973758098,1.23496413472902,1638,0.217020967293321
"EncrTime","Age_Older","Point-Biserial",0.0373325999705278,-0.011091774903262,0.0855822790727994,1.51198693914704,1638,0.130730081218917
"EncrTime","Age_Adult_of_unknown_age","Point-Biserial",0.0162216921264212,-0.0322079289206924,0.0645753189517069,0.656614171419842,1638,0.511521268115178
"EncrTime","Gender_Male","Point-Biserial",-0.0694950320799874,-0.117504096061531,-0.0211618863387213,-2.81943427218076,1638,0.00486873078148517
"EncrTime","Gender_Female","Point-Biserial",0.03421599568066,-0.0142118734342692,0.08248371732675,1.38560838178041,1638,0.16605514621846
"EncrTime","Gender_Unknown","Point-Biserial",0.0752905306998325,0.026984541457306,0.123245706925555,3.05584796910584,1638,0.00228049770504223
"EncrTime","OC_Load","Point-Biserial",0.0206473199572412,-0.02778478007594,0.0689827086541978,0.835820903939637,1638,0.403377567458766
"EncrTime","OC_StrWhe","Point-Biserial",0.0370100152905827,-0.0114147650097607,0.085261605186631,1.49890411764537,1638,0.13409119990597
"EncrTime","OC_Stroller","Point-Biserial",0.0429185591592457,-0.00549719232698303,0.0911335656416822,1.73861105583818,1638,0.0822910931899497
"EncrTime","OC_Wheelchair","Point-Biserial",-0.00040708511023865,-0.0488104546918568,0.0479981920550341,-0.0164756365295442,1638,0.986856945160133
"EncrTime","OC_SkaSco","Point-Biserial",-0.0180977331997647,-0.0664438591788604,0.0303331702966883,-0.732575286526995,1638,0.463922320632217
"EncrTime","OC_Skateboard","Point-Biserial",-0.00304586716202327,-0.0514426141908117,0.04536515254206,-0.123273555430588,1638,0.901905604317547
"EncrTime","OC_Scooter","Point-Biserial",-0.0267193764310839,-0.0750266732934327,0.0217130371444819,-1.08177850920349,1638,0.279510189425357
"EncrTime","OC_Bicycle","Point-Biserial",-0.141053196522492,-0.188172762244369,-0.0932857818131193,-5.76638720539356,1638,9.66152647802633e-09
"EncrTime","OC_Distracted","Point-Biserial",-0.00242082153621639,-0.0508191980077713,0.0459888987384921,-0.0979762911869644,1638,0.921963106882493
"EncrTime","CWNum1","Point-Biserial",0.14350041628838,0.0957612465240982,0.19058096433849,5.86851701391068,1638,5.31085724852184e-09
"EncrTime","CWNum2","Point-Biserial",-0.14350041628838,-0.19058096433849,-0.0957612465240982,-5.86851701391068,1638,5.31085724852184e-09
"EncrTime","LocCross_Crosswalk","Point-Biserial",-0.00415696564559356,-0.0525507230204999,0.0442562707623742,-0.168243051409035,1638,0.866412843912488
"EncrTime","LocCross_Away","Point-Biserial",0.00415696564559357,-0.0442562707623742,0.0525507230204999,0.168243051409035,1638,0.866412843912488
