"DV","IV","test","cor","cil","ciu","t","df","p"
"ReactPed_None","GroupSize","Point-Biserial",0.0205586942869485,-0.027873374716412,0.0688944667226833,0.83223174188852,1638,0.405399464520458
"ReactPed_None","logGroupSize","Point-Biserial",-0.00797287133281184,-0.0563554539272943,0.0404470694372733,-0.322690000657703,1638,0.746971209282085
"ReactPed_None","Age_ChildTeen","Phi",-0.0783292589150483,-0.126254897950845,-0.0300388189822799,-3.17992861865691,1638,0.00150067505748719
"ReactPed_None","Age_Child","Phi",-0.0865347831072845,-0.134376258251674,-0.0382908389722798,-3.51544116434331,1638,0.000450976502807451
"ReactPed_None","Age_Teenager","Phi",-0.0534587695516307,-0.101600196601803,-0.00506755115327406,-2.16669293749747,1638,0.0304020441240927
"ReactPed_None","Age_Adult","Phi",0.0570681654987362,0.00868783292655688,0.105181947900392,2.31344518992313,1638,0.0208214735620128
"ReactPed_None","Age_Young_adult","Phi",0.027017602844698,-0.021414734056802,0.0753234285758853,1.09386147414178,1638,0.274176569778471
"ReactPed_None","Age_Middle_aged_adult","Phi",0.113766705071769,0.0657243043799011,0.161282883655832,4.63447968070725,1638,3.86170402173698e-06
"ReactPed_None","Age_Older","Phi",0.063140517730359,0.014781362255404,0.11120497616872,2.56054565590639,1638,0.0105397649440347
"ReactPed_None","Age_Adult_of_unknown_age","Phi",-0.160428439912946,-0.207223590717594,-0.112900832200622,-6.57809691381491,1638,6.39210490635088e-11
"ReactPed_None","Gender_Male","Phi",0.0478908752942856,-0.000514649103211449,0.0960724985331266,1.94047624420893,1638,0.0524932389454212
"ReactPed_None","Gender_Female","Phi",0.0164778758042919,-0.0319519404574699,0.0648304983385939,0.666986650611184,1638,0.504874602771957
"ReactPed_None","Gender_Unknown","Phi",-0.0940481243351847,-0.141806902960297,-0.0458525291043773,-3.82328180547195,1638,0.000136618537062904
"ReactPed_None","OC_Load","Phi",0.0015679697853959,-0.0468399165778289,0.0499685087251545,0.0634592846538617,1638,0.949408522821263
"ReactPed_None","OC_StrWhe","Phi",0.0203133228099158,-0.0281186563140144,0.0686501537295816,0.822294790897215,1638,0.411028821979737
"ReactPed_None","OC_Stroller","Phi",0.0122810996379007,-0.0361447182702225,0.0606493774811335,0.497080764226658,1638,0.619198809414314
"ReactPed_None","OC_Wheelchair","Phi",0.0192579576324228,-0.0291735684270657,0.067599275089446,0.779556727359477,1638,0.435764452110102
"ReactPed_None","OC_SkaSco","Phi",0.0178544292204844,-0.0305763271871349,0.066201547120444,0.722723461171284,1638,0.46995297336189
"ReactPed_None","OC_Skateboard","Phi",0.00912427302898931,-0.0392974142204999,0.0575032078640788,0.369294891323379,1638,0.711955665181124
"ReactPed_None","OC_Scooter","Phi",0.00744866452536234,-0.0409704386451613,0.05583286549439,0.301472298274618,1638,0.763092637518606
"ReactPed_None","OC_Bicycle","Phi",0.0272682205012724,-0.0211640452978521,0.075572803335706,1.10401574480568,1638,0.269748462501054
"ReactPed_None","OC_Distracted","Phi",-0.0295986333480026,-0.0778913695987013,0.0188326796469979,-1.19844726651227,1638,0.230916303928464
"ReactPed_None","CWNum1","Phi",-0.0770257517149309,-0.124964169180662,-0.0287285312203298,-3.12669168282381,1638,0.00179892434771347
"ReactPed_None","CWNum2","Phi",0.0770257517149309,0.0287285312203298,0.124964169180662,3.1266916828238,1638,0.00179892434771347
"ReactPed_None","LocCross_Crosswalk","Phi",-0.00205596589856341,-0.0504552760839569,0.046352978417269,-0.0832096649930577,1638,0.933694995002155
"ReactPed_None","LocCross_Away","Phi",0.00205596589856341,-0.046352978417269,0.0504552760839569,0.0832096649930578,1638,0.933694995002155
"ReactPed_None","LocCross_Midblock","Phi",-0.0192597427403512,-0.0676010526991414,0.0291717841765601,-0.779629014841,1638,0.435721901451037
"ReactPed_None","LocCross_Middle","Phi",0.0348136677795552,-0.013613604321098,0.0830780017305883,1.4098407834058,1638,0.158776542248754
"ReactPed_None","CDirLeav","Phi",-0.0693611902457274,-0.117371460787722,-0.0210274560729025,-2.81397799352058,1638,0.00495172992935016
"ReactPed_None","CDirAppr","Phi",0.0693611902457274,0.0210274560729025,0.117371460787722,2.81397799352058,1638,0.00495172992935016
"ReactPed_None","ReactPed_Stop","Phi",-0.691808455448901,-0.716228773572829,-0.665695969273788,-38.775451122535,1638,6.58017868546325e-234
"ReactPed_None","ReactPed_Slow","Phi",-0.277979911375761,-0.322050908730687,-0.232706749788269,-11.712071276856,1638,1.74838139274602e-30
"ReactPed_None","ReactPed_Spedup","Phi",-0.405973909032114,-0.445621381159765,-0.364736986099618,-17.9789233588701,1638,4.21682408563759e-66
"ReactPed_None","ReactPed_Ran","Phi",-0.312905402604522,-0.355918993168496,-0.268568808165271,-13.3335264213661,1638,1.40159313424883e-38
"ReactPed_None","ReactPed_Cdir","Phi",-0.299398900308941,-0.342834799968187,-0.254685523387691,-12.6999056579723,1638,2.57939660003632e-35
"ReactPed_None","RTQueue","Point-Biserial",0.0788451358422466,0.0305574252319364,0.126765672862762,3.20100222257219,1638,0.00139576356182946
"ReactPed_None","Loc_Stop_None","Phi",0.0123956460647106,-0.036030303600224,0.0607635191495109,0.501717770417709,1638,0.615933489159703
"ReactPed_None","Loc_Stop_Before","Phi",0.00461970236811065,-0.0437944220365827,0.0530121794997159,0.186971571956834,1638,0.851706076878603
"ReactPed_None","Loc_Stop_InBtwn","Phi",-0.0198384818484646,-0.0681773446715472,0.0285933067780323,-0.803065301706621,1638,0.42205350164758
"ReactPed_None","Loc_Stop_Inside1","Phi",-0.0303629113606414,-0.0786516486900292,0.0180679744529179,-1.22942104269423,1638,0.219090552587054
"ReactPed_None","Loc_Stop_Between","Phi",0.0117336721897009,-0.0366914985103618,0.0601038669400941,0.474920370913966,1638,0.634907045230835
"ReactPed_None","Loc_Stop_Inside2","Phi",NA,NA,NA,NA,1638,NA
"ReactPed_None","ReactDrv_None","Phi",0.13336324200675,0.0855109142428029,0.180601724494808,5.44615476730532,1638,5.92954152474191e-08
"ReactPed_None","ReactDrv_StopSlow","Phi",-0.092625433876111,-0.140400284480579,-0.0444202594983411,-3.76494165449281,1638,0.000172470480790289
"ReactPed_None","ReactDrv_Stop","Phi",-0.0583595057435696,-0.106463094543136,-0.00998337593544887,-2.36597081479034,1638,0.0180987093343079
"ReactPed_None","ReactDrv_Slow","Phi",-0.0529123590931049,-0.101057862349214,-0.00451960326774788,-2.14448433066418,1638,0.0321408561061952
"ReactPed_None","ReactDrv_Other","Phi",-0.0959552378672888,-0.143692169533069,-0.0477727943589596,-3.90152379176804,1638,9.94575854107584e-05
"ReactPed_None","ReactDrv_Spedup","Phi",-0.0701026688245826,-0.118106233529537,-0.0217722165188218,-2.84420749446772,1638,0.00450751008380281
"ReactPed_None","ReactDrv_Swerve","Phi",-0.109283553339692,-0.156858136961766,-0.0612029732882344,-4.4495975621381,1638,9.18321051227051e-06
"ReactPed_None","VehType2_Small","Phi",-0.0156940026060299,-0.0640496781507975,0.0327351963141357,-0.635249247732091,1638,0.525354596476248
"ReactPed_None","VehType1_Sedan","Phi",-0.0181450929676086,-0.0664910252036413,0.0302858384935725,-0.734492985664299,1638,0.462753464217583
"ReactPed_None","VehType1_Mcycle","Phi",0.0215376345997932,-0.0268947349356132,0.0698691263774602,0.871877970700198,1638,0.383402728266804
"ReactPed_None","VehType2_Medium","Phi",0.0078869296290117,-0.040532875640768,0.0562697793666583,0.319211421627628,1638,0.749606899138443
"ReactPed_None","VehType1_SUV","Phi",-0.0352910524603123,-0.0835526558644783,0.0131357178718646,-1.42919726136066,1638,0.153138220917691
"ReactPed_None","VehType1_Truck","Phi",0.0418677230710114,-0.00654988215968679,0.0900894809841152,1.69596648003889,1638,0.0900822523849071
"ReactPed_None","VehType1_Van","Phi",0.0205228115551404,-0.0279092446684813,0.0688587391437976,0.830778568741939,1638,0.406219807350837
"ReactPed_None","VehType2_Large","Phi",0.0187516396199265,-0.0296796307870429,0.0670950714447316,0.759053809475346,1638,0.447929581622503
"ReactPed_None","VehType0_Largetruck","Phi",0.00787977655232382,-0.0405400174073364,0.0562626484926374,0.318921893796908,1638,0.749826404396367
"ReactPed_None","VehType0_Trailer","Phi",0.0484568994372486,5.26916506360407e-05,0.0966345721228437,1.963464472173,1638,0.0497611774025705
"ReactPed_None","VehType0_Bus","Phi",-0.031349570705522,-0.0796330624921011,0.0170806798337818,-1.26941043214645,1638,0.2044750439979
"ReactPed_None","EncrTime","Point-Biserial",0.164982513190884,0.117516654332224,0.21169626607926,6.76997983606567,1638,1.78874240355339e-11
"ReactPed_None","PreEncrTime","Point-Biserial",0.289675310829923,0.216340047564079,0.359760142210085,7.57233816320936,626,1.32036414387061e-13
"ReactPed_None","PostEncrTime","Point-Biserial",0.123970395320508,0.0625192396873412,0.184485141908913,3.95076464279581,1000,8.33718962142483e-05
"ReactPed_None","ConflSev_Low","Phi",0.150004805601972,0.102343578908332,0.1969788963922,6.14050456295695,1638,1.03012817180632e-09
"ReactPed_None","ConflSev_Mild","Phi",-0.0432557162369814,-0.0914685340872394,0.00515941774239957,-1.75229463668427,1638,0.0799102575050006
"ReactPed_None","ConflSev_High","Phi",-0.135879768779297,-0.183079952303569,-0.0880545873365866,-5.55083705918557,1638,3.31076671620617e-08
"ReactPed_None","WeathCle","Phi",0.101627593671572,0.0534863733038553,0.149297498446238,4.13449990608035,1638,3.73734595809803e-05
"ReactPed_None","WeathRai","Phi",-0.101627593671572,-0.149297498446238,-0.0534863733038553,-4.13449990608035,1638,3.73734595809803e-05
"ReactPed_None","WeathSno","Phi",NA,NA,NA,NA,1638,NA
"ReactPed_None","PRCP","Point-Biserial",-0.00318301993885996,-0.0515794043754843,0.0452282798466311,-0.128824512562979,1638,0.897512324161155
"ReactPed_None","PRCP_01","Phi",-0.0015399756062898,-0.0499405843368781,0.0468678493691487,-0.0623262941789266,1638,0.95031059349247
"ReactPed_None","TEMP","Point-Biserial",0.0989691158330893,0.0508081827778722,0.146670815697595,4.02526110300485,1638,5.95094566428682e-05
"ReactPed_None","TEMP_2050","Phi",-0.084109385641039,-0.131976406938804,-0.0358510130090192,-3.416198148974,1638,0.000650542937114859
"ReactPed_None","TEMP_5065","Phi",-0.027634778850077,-0.0759375329174011,0.0207973719849649,-1.11886795795255,1638,0.263360525039801
"ReactPed_None","TEMP_6580","Phi",0.102890922173311,0.0547593122300064,0.150545481905877,4.18644222084353,1638,2.98416373115889e-05
"ReactPed_None","TEMP_8095","Phi",0.0171703028330329,-0.0312600092691052,0.0655201792724857,0.695022608796685,1638,0.487139710609429
"ReactPed_None","Weekday_M_F","Phi",0.0265311623216473,-0.0219012952053041,0.0748393832276017,1.07415296045443,1638,0.282912337610611
"ReactPed_None","Weekday_TWH","Phi",-0.0265311623216473,-0.0748393832276017,0.0219012952053041,-1.07415296045443,1638,0.282912337610611
"ReactPed_None","Weekend","Phi",NA,NA,NA,NA,1638,NA
"ReactPed_None","TOD2_0611","Phi",0.0106495453545773,-0.0377742580518161,0.0590234510788341,0.431035107784818,1638,0.666499559144813
"ReactPed_None","TOD2_1217","Phi",0.0102939513496752,-0.038129378821909,0.0586690495909704,0.416641063801916,1638,0.676995558593019
"ReactPed_None","TOD2_1805","Phi",-0.0282781545939122,-0.0765776675946212,0.0201537629539858,-1.14493735563299,1638,0.252402371457073
"ReactPed_None","AMPeak","Phi",0.0185933481127583,-0.029837837274656,0.0669374358914109,0.752644049942744,1638,0.451771987441696
"ReactPed_None","PMPeak","Phi",0.00501774160987104,-0.0433971300797754,0.0534091009607238,0.203081662240449,1638,0.839096427613678
"ReactPed_None","PEDCP_ped_Walk","Phi",0.0887559291688398,0.0405257031598731,0.136573517304963,3.60638177210319,1638,0.000319806137018831
"ReactPed_None","PEDCP_ped_FDW","Phi",0.0692652844897291,0.0209311297450005,0.117276418551742,2.81006833431914,1638,0.0050119878214624
"ReactPed_None","PEDCP_ped_SDW","Phi",-0.0936575874384421,-0.141420797120412,-0.0454593429431396,-3.80726475360812,1638,0.000145690402173819
